company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn La Fleche;43 Grande Rue;72200;La Fleche;02 43 48 66 44;;https://immobilier-lafleche.nestenn.com/;;;;;;;
Nestenn Montval sur Loir;C. Cial Loir et Bercé;72500;Montval sur Loir;02 43 46 02 03;;https://immobilier-montvalsurloir.nestenn.com/;;;;;;;
Agence Fertoise Immobilière;1, avenue de la République;72400;La Ferté Bernard;02 43 93 06 90;;http://www.agence-fertoise.fr/;;;;;;;
Agence Immote;6 BIS RUE MARECHAL JOFFRE;72110;BONNETABLE;02.43.29.18.34;;http://www.agence-immote.com/;;;;;;;
ARGILIMMO;108 rue nationale;72440;BOULOIRE;02.43.35.31.40;;http://www.argilimmo.com/;https://www.facebook.com/pages/Argilimmo/153277671510054;;;;;;
Cabinet Perrocheau;Place Jeanne Bourin;72340;La Chartre sur le Loir;0243441661;;http://www.cabinet-perrocheau.fr/;;;;;;;
ELIT;17, rue Faidherbe;72160;CONNERRE;02 43 82 96 00;;http://www.immobilier-elit.com/;;;;;;;
ELIT;22 Grande rue;72450;MONTFORT LE GESNOIS;02 43 82 96 00;;http://www.immobilier-elit.com/;;;;;;;
ELIT;3 avenue 8 Mai 1945;72400;LA FERTE BERNARD;02 43 60 06 00;;http://www.immobilier-elit.com/;;;;;;;
Fontenoy Groupe Immobilier;72 rue Aristide Briand;72500;Chateau-Du-Loir;02 43 79 30 24;;http://www.fontenoy.com/;;;;;;;
Jousse-Péan;1 avenue de la République;72230;Ruaudin;02 43 72 74 80;;http://www.jousse-pean.fr/;;;;;;;
L’agence Générale de Sablé;19-21 rue Carnot;72300;Sablé-sur-Sarthe;"02.43.62.05.50
RSS :";;http://www.immobilierfranceouest.com/;;;;;;;
L'Immobilier Percheron;10, rue Carnot;72400;LA FERTE-BERNARD;02.43.71.22.84;;http://www.immobilierpercheron.com/;;;;;;;
La Flèche Immobilier;23 rue Carnot;72200;LA FLECHE;0243481008;;http://laflecheimmo.com/;https://www.facebook.com/laflecheimmo;;;;;;
SGSI IMMOBILIER;8 rue de la Gare;72230;ARNAGE;02 43 43 38 38;;http://www.sgsi72.fr/;https://www.facebook.com/pages/SGSI-Le-Mans/204408376353240;;;;;;
SOCIETE IMMOBILIERE FLECHOISE;40 rue Carnot;72200;LA FLECHE;02 43 94 03 51;;http://www.societeimmobiliereflechoise.com/;;;;;;;
