company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Pont-de-Beauvoisin;Rue Emmanuel Cretet, Zone La Baronnie;73330;Le Pont-de-Beauvoisin;04 76 31 00 68;;https://immobilier-pont-de-beauvoisin.nestenn.com/;;;;;;;
1000 habitat;ZA Le Domaine;73250;Saint-Pierre-d'Albigny;04 79 33 10 00;;http://www.1000habitat.com/;;;;;;;
2A immo;261, Rue de Genève;73100;Aix-les-Bains;04.79.35.18.26;;https://www.2a-immo.fr/;;;;;;;
360 Immobilier;19 avenue Charles de Gaulle;73100;Aix-les-Bains;04.79.63.17.09;;http://www.360immobilier.com/;https://www.facebook.com/360immobilier/;;;;;;
AB SERTI;Rue Piétonne des Villards ARC 1800;73700;BOURG SAINT MAURICE;04 79 07 46 21;;http://www.abserti.com/;;;;;;;
Accessible immobilier;96 rue du Casino;73100;Aix-les-Bains;04 79 35 12 38;;http://www.accessible-immobilier.com/;;;;;;;
ActImmo;38 Avenue Général de Gaulle;73200;ALBERTVILLE;0479323604;;http://www.agence-immobiliere-albertville.fr/;https://www.facebook.com/immobilieredelest69;;;;;;
Actions Services Immobiliers;104 Chemin de Ravet;73470;NOVALAISE;04 79 72 37 87;;http://www.agence-aiguebelette.fr/;;;;;;;
Actives Transactions Conseils;177 avenue des Massettes;73190;CHALLES-LES-EAUX;"04 79 62 52 57
Twitter :";;http://www.a-transactionsconseils.com/;;;;;;;
Actua Immobilier;3 place Carnot;73100;Aix-les-Bains;04 79 88 29 70;;http://www.aixlesbains-actua.com/;;;;;;;
ADELIE IMMOBILIER;Le grand Paradis;73700;La Rosière - Montvalezan;04 79 06 89 59;;http://www.adelie-immobilier.fr/;;;;;;;
Agence centrale de la Plagne;Résidence AIME 2000 Galerie Commerciale;73210;AIME LA PLAGNE;04.79.24.49.83;;http://www.agencecentraledelaplagne.fr/;https://www.facebook.com/Agence-Centrale-de-la-Plagne-19137574963/;;;;;;
Agence des Adrets;Rue Piétonne de Caron;73440;Val Thorens;;;http://www.agencedesadrets.com/;https://www.facebook.com/valthorens.location;;;;;;
Agence des Alpes;Immeuble l'Oisans;73440;Les Ménuires;04 79 00 65 34;;http://www.agencedesalpes.com/;;;;;;;
