company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ABF Immobilier & Commerces;71 Rue de la Barre;76200;Dieppe;02 35 83 73 74;;http://www.abfimmobilier.fr/;https://www.facebook.com/abfimmobilierDieppe;;;;;;
ACT IMMO;1 rue de la République;76770;LE HOULME;02-35-76-61-91;;http://www.actimmo76.com/;;;;;;;
Agence des Fleurs;9 , rue du Neubourg;76500;ELBEUF;02 35 78 88 06;;http://www.agencedesfleurs.com/;;;;;;;
Agence du Mascaret;13 Quai Guilbaud;76490;Caudebec en Caux;02 35 96 57 20;;http://www.agencedumascaret.com/;;;;;;;
Agence immobilière du Parc;3, Rue Guillaume Lettellier;76490;CAUDEBEC EN CAUX;02 35 56 44 83;;http://www.agenceimmobiliereduparc.com/;;;;;;;
Agence Maupassant;Place Charles de Gaulle;76400;Fécamp;02 35 10 43 25;;http://www.fecampimmo.com/;;;;;;;
AIPN;17 rue Pierre Corneille;76300;Sotteville les Rouen;02 35 03 05 27;;http://www.aipn-immo.com/;;;;;;;
Arthurimmo;59 rue Félix Faure;76290;Montivilliers;"02 35 20 09 34
RSS :";;http://www.montivilliers-arthurimmo.com/;;;;;;;
BIAS Immobilier;46, Grande Rue;76750;BUCHY;02 35 91 01 45;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;340 Quai de la Libération;76480;DUCLAIR;02 35 05 13 73;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;32, rue des Martyrs;76500;ELBEUF SUR SEINE;02 35 87 00 00;;http://www.biasimmobilier.fr/;;;;;;;
BIAS IMMOBILIER;30 Avenue Jean Jaurès;76140;LE PETIT QUEVILLY;02 35 62 39 65;;http://www.biasimmobilier.fr/;;;;;;;
Bihorel Immobilier;29 rue de la Libération;76420;Bihorel;02 35 60 74 42;;http://www.bihorel-immobilier.fr/;;;;;;;
Cabinet Alain Soudey;84, Rue André Martin;76710;Montville;02 35 33 70 21;;http://www.cabinet-soudey.fr/;;;;;;;
Cabinet Alain Soudey;36, Rue Victor Hugo;76980;Veules;02 35 97 60 99;;http://www.cabinet-soudey.fr/;;;;;;;
CABINET JOUSS'IMMO;20 Rue de la République;76810;LUNERAY;02.35.86.87.41;;http://www.joussimmo.fr/;;;;;;;
Cabinet Loretz & Associés;31 rue Raymond Aron;76130;MONT SAINT AIGNAN;02.32.19.83.83;;http://www.cabinetloretz.fr/;https://www.facebook.com/CabinetLoretz/;;;;;;
Cabinet Robert;17/19 rue des Bains;76200;Dieppe;02.30.32.72.47;;http://www.dieppe-immobilier.fr/;;;;;;;
Cany immobilier;71 rue du Général De Gaulle;76450;CANY BARVILLE;02 35 97 55 98;;http://www.canyimmobilier.com/;;;;;;;
Caux Seine Immobilier;2 RESIDENCE DE L'EPERON;76450;PALUEL;02.35.97.28.89;;http://www.caux-seine-immobilier.fr/;;;;;;;
CENTURY 21 Accore;14 rue Général de Gaulle;76540;VALMONT;02 35 29 95 05;;http://www.century21-accore-valmont.com/;https://www.facebook.com/pages/CENTURY-21-Accore-%C3%A0-Valmont/122626794466172;;;;;;
CENTURY 21 Accore;66 rue du Général de Gaulle;76450;CANY BARVILLE;02 35 57 58 59;;http://www.century21-accore-cany-barville.com/;https://www.facebook.com/pages/Century-21-Accore-%C3%A0-Cany-Barville/167939166577967;;;;;;
CENTURY 21 Accore;1 place du Marché;76460;ST VALERY EN CAUX;02 35 57 99 99;;http://www.century21-accore-st-valery-caux.com/;https://www.facebook.com/pages/CENTURY-21-Accore-%C3%A0-Saint-Valery-en-Caux/155086077870422;;;;;;
