company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Bagnolet;64 rue Sadi Carnot;93170;Bagnolet;01 48 51 36 66;;https://immobilier-bagnolet.nestenn.com/;;;;;;;
Nestenn Epinay Sur Seine;42 Avenue Gallieni;93800;Epinay Sur Seine;01 48 41 11 83;;https://immobilier-epinay-sur-seine.nestenn.com/;;;;;;;
Nestenn Le Pre-Saint-Gervais;70 rue André Joineau;93310;Le Pre-Saint-Gervais;01 71 89 52 32;;https://immobilier-le-pre-saint-gervais.nestenn.com/;;;;;;;
Nestenn Neuilly-sur-Marne;1-9 Boulevard Maréchal Foch;93330;Neuilly-sur-Marne;06 10 34 17 48;;https://immobilier-neuilly-sur-marne.nestenn.com/;;;;;;;
Nestenn Pantin;30 quai de l'aisne;93500;Pantin;01 48 43 75 43;;https://immobilier-pantin.nestenn.com/;;;;;;;
Nestenn Rosny-sous-Bois;4 rue Paul Cavaré;93110;Rosny-sous-Bois;01 71 89 53 35;;https://immobilier-rosny-sous-bois.nestenn.com/;;;;;;;
110 Immo;110 Route de Corbeil;91360;Villemoisson-sur-Orge;01 69 51 30 30;;http://www.110immo.fr/;;;;;;;
ABEILLE IMMO;17 avenue de livry;93270;SEVRAN;01.41.52.20.15;;http://www.abeille-immo.com/;;;;;;;
AC Immo;68 Avenue Jean Jacques Rousseau;93190;LIVRY GARGAN;01.43.84.31.46;;http://www.acimmo.fr/;;;;;;;
ACB Immobilier;60 rue Jules Guesde;93140;BONDY;01.48.47.28.09;;http://www.acbimmobilier.com/;;;;;;;
Agence de la gare;1/3 place Oissery-forfry;93320;LES PAVILLONS SOUS BOIS;01.48.48.30.30;;http://www.gargan-immobilier.com/;;;;;;;
Agence de la Place;192 rue Etienne Marcel;93170;Bagnolet;01 48 58 06 21;;http://www.adlpimmo.fr/;https://www.facebook.com/AgenceDeLaPlace;;;;;;
Agence du Château;120, avenue de la résistance;93340;LE RAINCY;01 41 53 02 02;;http://www.immo93.com/;;;;;;;
Agence du Viaduc;11 Bd du Maréchal Foch;93160;Noisy le Grand;01 49 32 91 91;;http://www.agenceduviaduc.com/;;;;;;;
Agence Immobilière MORENO 2000;89 avenue du Maréchal Foch;93360;Neuilly Plaisance;01 43 00 64 24;;http://www.agence-moreno2000.com/;;;;;;;
Agentys;89 av mederic;93160;NOISY LE GRAND;01.43.04.08.08;;http://www.agentys.com/;https://www.facebook.com/agentys;;;;;;
AGEXIA;63 avenue du Raincy;93250;VILLEMOMBLE;01 49 35 10 10;;http://www.agexia.fr/;;;;;;;
Alexanimmo;21 RUE SADI CARNOT;93170;Bagnolet;0143600606;;http://www.alexanimmo.fr/;https://www.facebook.com/alexanimmobilier;;;;;;
Alexanimmo;44 R REPUBLIQUE;93230;Romainville;0141601402;;http://www.alexanimmo.fr/;;;;;;;
AMAC Immobilier;20 avenue Outrebon;93250;Villemomble;01 48 94 88 54;;http://www.amacimmo.com/;;;;;;;
ANNE CAROLE;76, rue André Joineau;93310;PRE ST GERVAIS;01 48 10 14 09;;http://www.annecarole.com/;https://www.facebook.com/AnneCarole.Immobilier;;;;;;
Ariane Immobilier;25 rue André JOINEAU;93310;Le Pré Saint Gervais;01 48 46 41 72;;http://www.arianeimmo.com/;;;;;;;
Arthurimmo Agence de L Eglise;8 RUE PAUL CAMILLE THOMOUX;93330;Neuilly sur Marne;"01 49 44 60 80
RSS :";;http://www.neuillysurmarne-arthurimmo.com/;;;;;;;
Arthurimmo AGENCE LE SAUTER Gournay sur marne;4 Place Franklin Roosevelt;93460;Gournay sur Marne;"01 43 04 33 33
RSS :";;http://www.lesauter-immobilier.net/;;;;;;;
ATM & GAILLARD;88, rue Jean Jaurès;93130;NOISY-LE-SEC;01 48 91 97 97;;http://www.atmgaillard.com/;;;;;;;
ATM & GAILLARD;181 rue de PARIS;93260;LES LILAS;01 43 60 03 03;;http://www.atmgaillard.com/;;;;;;;
ATMFI : ATM & GAILLARD;128, rue Roger Salengro;93140;BONDY;01 48 50 35 99;;http://www.atmgaillard.com/;;;;;;;
AVENIR Immobilier;18 avenue Pierre et Marie Curie;93150;Le Blanc Mesnil;01 48 65 77 37;;http://www.avenir-immobilier.fr/;https://www.facebook.com/AvenirImmobilier93;;;;;;
AVENIR IMMOBILIER;67 avenue Henri Barbusse;93290;Tremblay en France;01 56 48 03 03;;http://www.avenir-immobilier.fr/;https://www.facebook.com/AvenirImmobilier93;;;;;;
Bertin Immobilier;13 Boulevard d'Aulnay;93250;VILLEMOMBLE;01.48.54.10.25;;http://bertin-immobilier.fr/;;;;;;;
Blanche Immobilier;2 Place Jean Mermoz;93370;MONTFERMEIL;01.43.51.02.98;;http://www.blanche-immobilier.com/;;;;;;;
Cabinet Bougon;116 avenue de la Résistance;93340;Le Raincy;01 43 81 04 47;;http://www.cabinet-bougon.com/;;;;;;;
Cabinet Jayet;217 rue Pierre Brossolette;93160;Noisy Le Grand;01 43 05 24 24;;http://www.cabinet-jayet.com/;;;;;;;
Cabinet Louis Porcheret;33, rue Sadi Carnot;93170;Bagnolet;01.43.63.79.58;;http://www.porcheret.fr/;;;;;;;
Cabinet Roger Bordat;64 Boulevard Jean Jaurès;93400;Saint-Ouen;01 40 12 61 08;;http://www.roger-bordat.fr/;;;;;;;
CENTURY 21 Pierrimo;32-34 avenue Pierre et Marie Curie;93150;LE BLANC MESNIL;01 48 67 21 21;;http://www.century21pierrimo.com/;;;;;;;
Cloudimmo;14 rue de la terrasse;93160;Noisy-le-Grand;0149322448;;http://cloudimmo.org/;https://www.facebook.com/Cloudimmo-2105727359497018/;;;;;;
Domapart Immobilier;8-10 rue des Blés;93210;La Plaine Saint Denis;01 74 90 04 10;;http://www.domapart.com/;https://www.facebook.com/domapart;;;;;;
ERA AGENCE DE L'EGLISE;2, rue du 4ème Zouaves;93110;Rosny sous Bois;01 49 35 15 60;;http://www.era-immobilier-rosny-sous-bois.fr/;https://www.facebook.com/rosny.era;;;;;;
ERA IMMO 77;19, rue Henri Barbusse;93370;Montfermeil;01 43 51 91 69;;http://www.era-immobilier-montfermeil.fr/;;;;;;;
ERA IMMOTEAM;2, avenue Aristide Briand;93160;Noisy le Grand;01 45 92 41 46;;http://www.era-immobilier-noisy-le-grand-centre.fr/;;;;;;;
ERA TRANSIM 93;Rés Carnot - 1 av du Gal de Gaulle;93330;Neuilly sur Marne;01 43 08 51 51;;http://www.era-immobilier-neuilly-sur-marne.fr/;;;;;;;
Etude Médéric Immobilier;24 Avenue Émile Cossonneau;93160;NOISY LE GRAND;01 55 85 10 20;;http://www.etudemederic.com/;;;;;;;
Europe Immo 93;19 Rue de Paris;93380;Pierrefitte sur Seine;01 42 35 80 80;;https://www.europe-immo.fr/;;;;;;;
Franceville Habitat;163 Avenue des arts;93370;MONTFERMEIL;01.41.70.13.12;;http://www.francevillehabitat.com/;;;;;;;
Gestion immobilière Dubourg;28, Avenue Gabriel Péri;93160;NOISY LE GRAND;01 75 91 80 80;;http://www.gidimmo.com/;;;;;;;
Gestion Immobilière Dubourg;13 Rue du Général Gallieni;93110;Rosny-Sous-Bois;01 75 91 80 80;;http://www.gidimmo.com/;;;;;;;
Guy Hoquet Rosny-sous-Bois;9 rue Richard Gardebled;93110;Rosny-sous-Bois;01 48 55 70 47;;http://www.guyhoquet-immobilier-rosnysousbois.com/;;;;;;;
Guy Hoquet Saint-Ouen;7 RUE CHARLES SCHMIDT;93400;Saint-Ouen;01 49 48 48 48;;http://www.guyhoquet-immobilier-saint-ouen.com/;;;;;;;
Guy Hoquet Tremblay-en-France;20 AVENUE PASTEUR;93290;Tremblay-en-France;01 48 61 78 18;;http://www.guyhoquet-immobilier-tremblayenfrance.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Tremblay-en-France/325814660771108;;;;;;
Home 21;27, allée Monpensier;93190;Livry Gargan;;;http://www.home21immobilier.fr/;https://www.facebook.com/home21;;;;;;
Home 21;22 avenue Aristide Briand;93190;LIVRY-GARGAN;01 43 81 06 36;;http://www.home21.fr/;https://www.facebook.com/home21;;;;;;
IBC IMMOBILIER;26 PLACE DU GENERAL DE GAULLE;93220;GAGNY;0143810101;;http://www.ibcimmo.com/;;;;;;;
iGs immobilier;88 Avenue de la Division Leclerc RN2;93350;Le Bourget;01.48.37.22.37;;http://www.igs-immobilier.fr/;;;;;;;
IMMO CORNER;83, avenue Michelet;93400;Saint-Ouen;01 80 89 49 22;;http://www.immocorner.fr/;;;;;;;
IMMO Pas Cher;5, rue Jules Guesde;93220;Gagny;01 43 81 26 09;;http://www.immobilier-realiste.fr/;;;;;;;
Immo Transac;74 Rue de Paris;93260;LES LILAS;01.43.62.03.31;;http://www.immo-transac.com/;;;;;;;
IMMO-3;3 5 route de Montreuil;93230;Romainville;01 43 60 05 05;;http://www.immo3.fr/;;;;;;;
Immobilière de Rosny;24 Avenue du Général de Gaulle;93110;Rosny sous bois;01 48 54 20 00;;http://www.immobiliere-de-rosny.fr/;https://www.facebook.com/agence.immobilier.rosnysousbois;;;;;;
INTERIMMO 93;23 AVENUE VICTOR HUGO;93270;SEVRAN;;;http://www.pcimmo.com/;;;;;;;
Koehler Immobilier;11 Place du Général de Gaulle;93340;LE RAINCY;0143013636;;http://www.koehlerimmobilier.fr/;https://www.facebook.com/Koehler-Immobilier-721436491322908/;;;;;;
L'ADRESSE AGENCE SOPATRIM;53 RUE VAILLANT COUTURIER;93220;GAGNY;01 43 08 93 47;;http://www.ladresse-sopatrim.fr/;;;;;;;
L'ADRESSE AGENCE VAUJOURS IMMOBILIER;6, avenue du Général de Gaulle;93410;VAUJOURS;01 41 51 10 20;;http://www.ladresse-vaujours.com/;;;;;;;
L'Adresse AGENCES de l'ANCIENNE MAIRIE - DESCAMPS - PIERRAT;6 place Churchill;93460;GOURNAY SUR MARNE;01.43.04.10.07;;http://www.ladresse-gournay.com/;;;;;;;
L'Adresse AGREG;15, rue du Général Leclerc;93110;ROSNY SOUS BOIS;01.48.55.98.73;;http://www.ladresse-rosny-sous-bois.com/;;;;;;;
La plaine immobilier;43 AV DU PRESIDENT WILSON;93210;La Plaine St Denis;01 48 21 80 80;;http://www.laplaineimmobilier.com/;https://www.facebook.com/pages/La-Plaine-Immobilier-Saint-Denis/181308815307384;;;;;;
Laforet Saint ouen;69, Avenue Gabriel Péri;93400;SAINT OUEN;01.49.48.99.48;;http://www.laforet-immobilier-saint-ouen.com/;;;;;;;
Mise en vente;2 rue Rouget de Lisle;93160;Noisy Le Grand;01.49.89.30.12;;http://www.mise-en-vente.fr/;https://www.facebook.com/pages/Mise-en-Vente/126470877423169;;;;;;
