company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Avon;49 Avenue Franklin Roosevelt;77210;Avon;01 60 39 09 58;;https://immobilier-avon.nestenn.com/;;;;;;;
Nestenn Chessy;En cours d'ouverture;77700;Chessy;00 00 00 00 00;;https://immobilier-chessy.nestenn.com/;;;;;;;
Nestenn Meaux;En cours d ouverture;77100;Meaux;00 00 00 00 00;;https://immobilier-meaux.nestenn.com/;;;;;;;
Nestenn Melun;8bis Avenue Thiers;77000;Melun;01 64 87 07 07;;https://immobilier-melun.nestenn.com/;;;;;;;
Nestenn Montereau fault yonne;En cours d ouverture;77130;Montereau fault yonne;00 00 00 00 00;;https://immobilier-montereau-fault-yonne.nestenn.com/;;;;;;;
Nestenn Provins;8 Place du Maréchal Leclerc;77160;Provins;01 64 00 10 97;;https://immobilier-provins.nestenn.com/;;;;;;;
Nestenn Saint-Fargeau-Ponthierry;64 avenue de Fontainebleau;77310;Saint-Fargeau-Ponthierry;01 60 65 70 25;;https://immobilier-saint-fargeau-ponthierry.nestenn.com/;;;;;;;
Nestenn Torcy;58 bis rue de Paris;77200;Torcy;01 64 11 04 09;;https://immobilier-torcy.nestenn.com/;;;;;;;
ACB immobilier Agence Centrale de Boisparisis;6, Place François MAURIAC;77270;VILLEPARISIS;01.64.67.24.21;;http://www.acb-immo.com/;;;;;;;
Accessimo;76 RUE J JAURES;77410;Claye Souilly;01 60 26 11 42;;http://www.accessimo.com/;;;;;;;
Accessimo;1 rue de la Justice;77230;Dammartin-en-goele;01 60 26 79 73;;http://www.accessimo.com/;;;;;;;
Actif Immo;29, avenue de Thiers;77000;MELUN;01 64 39 64 39;;http://www.actifimmo.fr/;https://www.facebook.com/pages/Actif-Melun/383328585085131;;;;;;
Actif Immo;2, rue des Carouges;77000;VAUX LE PENIL;01 64 09 78 78;;http://www.actifimmo.fr/;https://www.facebook.com/pages/Actif-Agence-De-Vaux/306088882850137;;;;;;
Actif Immobilier;273, avenue de la Libération;77350;LE MEE SUR SEINE;01 64 39 56 56;;http://www.actifimmo.fr/;https://www.facebook.com/pages/Actif-Le-Mee/388711687874456;;;;;;
Adic Immobilier;23 rue Gérard de Nerval;77280;Othis;01 60 03 86 86;;http://www.adic-immobilier.fr/;https://www.facebook.com/adic.immobilier;;;;;;
Adic Immobilier;119 rue du Général de Gaulle;77230;Dammartin en Goele;01 64 02 55 55;;http://www.adic-immobilier.fr/;https://www.facebook.com/adic.immobilier;;;;;;
Adic Immobilier;46 rue du Plessis;77178;ST Pathus;01 60 01 40 00;;http://www.adic-immobilier.fr/;https://www.facebook.com/adic.immobilier;;;;;;
Agence Alexandre;107, rue Jean Jaurès;77130;Montereau;01 64 32 80 50;;https://www.agence-alexandre.fr/;;;;;;;
Agence Bel'Immo;190 RUE DU GENERAL LECLERC;77170;Brie Comte Robert;01 64 05 40 00;;http://www.bel-immo.net/;;;;;;;
Agence Centrale de Boisparisis;2, Rue de Juilly;77290;Mitry-Mory;01 64 67 24 21;;http://www.acb-immo.com/;;;;;;;
Agence Clouzy;4 bis rue du Général de Gaulle;77515;FAREMOUTIERS;01 64 03 99 06;;http://www.agence-clouzydeltour.com/;;;;;;;
Agence Clouzy - Deltour;9 ter avenue de la République;77120;COULOMMIERS;01 64 03 63 60;;http://www.agence-clouzydeltour.com/;;;;;;;
Agence Conseil THB;40 Rue de France;77300;Fontainebleau;01 64 22 42 73;;http://www.thb-immobilier.com/;;;;;;;
AGENCE DE MONTIGNY;11 rue de la liberation;77690;MONTIGNY SUR LOING;01 64 45 61 62;;http://www.agencedemontigny.fr/;;;;;;;
Agence de Quincy;23 rue de Meaux;77860;Quincy Voisins;016463372;;http://www.agencedequincy.com/;;;;;;;
Agence du chateau - Egreville;12 Place Massenet;77620;Egreville;01 64 28 50 05;;http://www.agence-chateau.fr/;;;;;;;
Agence du Gatinais;2 Place de la République;77760;LA CHAPELLE-LA-REINE;01.64.24.30.36;;http://www.adg-immo.com/;;;;;;;
Agence du Marché;20 Boulevard Turenne;77260;La Ferté-sous-Jouarre;;;http://www.admimmo.com/;;;;;;;
Agence du Montois;110, route de Sens;77480;Bray sur Seine;01.60.67.19.09;;http://www.agence-du-montois.fr/;;;;;;;
AGENCE OZOIR IMMOBILIER /LDSR IMMO;18 avenue du General Leclerc;77330;Ozoir la Ferriere;01 60 18 55 25;;http://www.ozoir-immobilier.com/;;;;;;;
Agence Saint Hubert;Route de Milly;77630;Arbonne-la-Forêt;01.60.66.44.17;;http://www.agencesainthubert.fr/;https://www.facebook.com/agencesainthubert;;;;;;
Agence Santacreu Immobilier;25, rue de Paris;77220;Gretz-Armainvilliers;01 64 07 03 36;;http://www.agence-santacreu.com/;;;;;;;
Agencia;44, ave de la république;77740;Pontault Combault;;;http://www.agencia-immo.fr/;;;;;;;
Agentys;19 avenue de la république;77340;PONTAULT COMBAULT;01.60.34.03.03;;http://www.agentys.com/;https://www.facebook.com/agentys;;;;;;
AIGM AGENCE DU GRAND MORIN;1409 AVENUE DU GENERAL DE GAULLE;77120;Mouroux;0164036441;;http://www.agence-aigm.fr/;;;;;;;
AIVB Agence Immobilière du Val de Bussy;57 Boulevard Antoine Giroust;77600;Bussy-Saint-Georges;01 64 66 90 90;;http://www.aivb.net/;;;;;;;
Arthur Loyd Fontainebleau;3 rue Grande;77300;Fontainebleau;01.64.22.35.84;;http://www.arthurloyd-fontainebleau.com/;;;;;;;
Arthur Loyd Melun;3 rue Augereau;77000;Melun;01 60 63 01 00;;http://www.arthurloyd-melun.com/;;;;;;;
ARTHURIMMO 100 % EXPERT;18B RUE DE LA GARE;77360;Vaires sur Marne;"01 64 21 38 78
RSS :";;http://www.vairessurmarne-arthurimmo.com/;;;;;;;
Arthurimmo AGENCE DES SOURCES;20 RUE BERTAUX;77610;Fontenay-Trésigny;"01 64 25 18 46
RSS :";;http://www.fontenaytresigny-arthurimmo.com/;;;;;;;
Arthurimmo Chelles;18 avenue du Marechal Foch;77500;Chelles;"01 60 93 15 50
RSS :";;http://www.chelles-arthurimmo.com/;;;;;;;
Au Rendez-Vous Immobilier;62, rue du Général LECLERC;77540;Rozay-en-Brie Rozay Rosay;01.64.25.62.75;;http://www.au-rendez-vous-immobilier.fr/;https://www.facebook.com/pages/Au-RDV-Immobilier/370429033099936;;;;;;
AVENIR IMMOBILIER;44 avenue Pasteur Centre commercial Mauperthuis;77410;Claye Souilly;01 60 27 20 30;;http://www.avenir-immobilier.fr/;https://www.facebook.com/AvenirImmobilier93;;;;;;
Avenir Immobilier;186 avenue du Général de Gaulle;77270;Villeparisis;01 60 93 92 92;;http://www.avenir-immobilier.fr/;https://www.facebook.com/AvenirImmobilier93;;;;;;
Barbizon Immobilier;34 GRANDE RUE;77630;Barbizon;01 64 14 90 50;;http://www.barbizon-immobilier.com/;;;;;;;
BCA IMMO;4, rue Gambetta;77400;LAGNY SUR MARNE;01.60.07.07.45;;http://www.bcaimmo.com/;;;;;;;
Cabinet BSGI;79, rue de Paris;77200;TORCY;01 64 62 11 11;;http://www.bsgi.fr/;;;;;;;
Cabinet Conseil Immobilier;46 rue Saint Aspais;77000;Melun;01 64 37 82 82;;http://www.ccimmob.com/;;;;;;;
Cabinet Immo Land ;56 Rue Louis Eterlet;77500;Chelles;01 60 20 48 40;;http://www.cab-immoland.com/;;;;;;;
Cabinet Mesmacque;3 AVENUE GALLIENI;77590;BOIS LE ROI;01 60 69 60 62;;http://www.cabinet-mesmacque.fr/;;;;;;;
Calypso Immo;1 avenue du docteur Blanchet;77500;Chelles;01 60 20 10 00;;http://www.calypso-immo.fr/;;;;;;;
CASA PRO IMMO;1 Avenue Normandie Niemen;77290;Mitry Mory;01 60 21 19 19;;http://www.casaproimmo.fr/;;;;;;;
Century 21 Agence Babut en Seine et Marne;67 rue Grande;77300;FONTAINEBLEAU;01 60 74 53 21;;http://www.century21agencebabut.com/;https://www.facebook.com/pages/Fontainebleau-France/CENTURY-21-Agence-Babut-a-Fontainebleau/115841145101840;;;;;;
Century 21 ERIC ORQUERA IMMOBILIER;;;;;;http://www.orquera.com/;https://www.facebook.com/pages/CENTURY-21-Orqu%C3%A9ra-Immobilier/103083893060634;;;;;;
Chanot Robquin;10, rue de la Marne;77400;Pomponne;01.60.07.32.86;;http://www.agencechanotlagny.fr/;;;;;;;
Chanot Robquin Immobilier;31 Boulevard Jean Rose;77100;Meaux;01.60.25.16.16;;http://www.chanotrobquin.com/;;;;;;;
CIG-immo;15 rue du Général de Gaulle;77230;Dammartin en Goële;01.60.03.56.56;;http://www.cig-immo.fr/;;;;;;;
Côté Logis;3, Place Gouas;77860;COUILLY PONT AUX DAMES;01 60 42 08 69;;http://www.agencecotelogis.com/;;;;;;;
Côté Maisons;124 RUE GENERAL LECLERC;77780;Bourron Marlotte;01 60 55 53 10;;http://www.cote-maisons.fr/;;;;;;;
CSM Immobilier;4 Rue de L’épinette;77700;MAGNY LE HONGRE;01.60.43.65.10;;http://www.csmimmobilier.fr/;;;;;;;
DETRUS IMMOBILIER;9 rue Verdun;77410;Claye Souilly;01 60 27 16 20;;http://www.detrus-immobilier.com/;;;;;;;
ERA AGENCE DE LA POSTE;40, avenue Albert Beaufils;77310;Saint Fargeau Ponthierry;01 64 89 54 54;;http://www.era-immobilier-ponthierry.fr/;;;;;;;
ERA AMP IMMO;7 cours Pinteville;77100;Meaux;01 60 24 47 12;;http://www.immobilier-meaux-era.fr/;;;;;;;
ERA CANO IMMOBILIER Mouroux;717, avenue du Général Leclerc - RN 34;77120;Mouroux;01 64 03 09 59;;http://www.era-immobilier-mouroux.fr/;;;;;;;
ERA FTI IMMOBILIER;15, rue Bertaux;77610;Fontenay Trésigny;01 64 25 86 06;;http://www.immobilier-fontenay-tresigny-era.fr/;;;;;;;
ERA IMMOCONSEIL;40, avenue du Général de Gaulle;77330;Ozoir la Ferrière;01 64 40 00 40;;http://www.immobilier-ozoirlaferriere-era.fr/;;;;;;;
ERA IMMOTEAMS - CHAMPS SUR MARNE;15, avenue Ampère;77420;Champs sur Marne;01 64 61 04 61;;http://www.era-immobilier-champs-sur-marne.fr/;;;;;;;
ERA INVESTIMMO 77;22, avenue du Général Leclerc;77680;Roissy en Brie;01 64 43 55 55;;http://www.era-immobilier-roissy-en-brie.fr/;;;;;;;
ERA INVESTIMMO 77;73/75, avenue du Général de Gaulle;77340;Pontault Combault;01 64 40 07 70;;http://www.era-immobilier-pontault-combault.fr/;;;;;;;
