company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Albert;2 Rue Gambetta;80300;Albert;03 22 76 00 00;;https://immobilier-albert.nestenn.com/;;;;;;;
Abbeville immo;18, Chaussée du Bois;80100;ABBEVILLE;03.22.31.24.27;;http://www.abbeville-immo.net/;;;;;;;
ACD;50 rue du Commandement Unique;80600;Doullens;03.22.77.08.81;;http://www.acd-immobilier.com/;;;;;;;
ACD Immobilier;35 rue Pierre Sauvage;80100;Abbeville;03.22.23.91.76;;http://www.acd-immobilier.com/;https://www.facebook.com/pages/ACD-immobilier/445209948889513;;;;;;
Agence des Pins;687 avenue Plage;80120;FORT MAHON PLAGE;03 22 23 60 87;;http://www.agencedespins.eu/;;;;;;;
Agence des Pins;24, avenue Vasseur;80120;QUEND PLAGE LES PINS;03 22 28 04 25;;http://www.agencedespins.eu/;;;;;;;
Agence du Littoral;1, place Clémenceau;80410;CAYEUX SUR MER;03 22 26 60 21;;http://www.littoral-cayeux.com/;;;;;;;
ARTHUR IMMOBILIE PERONNE;13 avenue de la Gare;80200;Doingt Flamicourt;03 22 84 20 00;;http://www.arthurimmo-peronne.com/;https://www.facebook.com/pages/HD-Immobilier-Doingt/704390139600040;;;;;;
Baie de Somme Immo;51, quai Blavet;80230;SAINT-VALERY SUR SOMME;03.22.60.66.98;;http://www.baiedesomme-immo.net/;;;;;;;
Boulland Immobilier;1392, Avenue de la Plage;80120;Fort-Mahon-Plage;03 22 23 34 80;;http://www.immobilier-fort-mahon.fr/;;;;;;;
Cabinet de Simencourt;Esplanade du Général Leclerc;80350;Mers Les Bains;02 35 84 26 30;;http://www.de-simencourtimmobilier.fr/;;;;;;;
Cabinet de Simencourt;12-14, rue Boucher de Perthes;80100;Abbeville;03 22 20 58 37;;http://www.de-simencourtimmobilier.fr/;;;;;;;
Cabinet de Simencourt;43, Grande Rue;80460;Ault;02 35 84 26 30;;http://www.de-simencourtimmobilier.fr/;;;;;;;
Cabinet Delahaye;2, avenue du Gén LECLERC;80100;ABBEVILLE;03 22 24 28 27;;http://www.cabinetdelahaye.fr/;;;;;;;
Cabinet Delahaye;5, bis quai du Romerel;80230;ST VALERY S/SOMME;03 22 60 04 81;;http://www.cabinetdelahaye.fr/;;;;;;;
Cabinet Delahaye;38 rue de la porte de Bécray;80120;RUE;03 22 20 46 36;;http://www.cabinetdelahaye.fr/;;;;;;;
Cabinet Delahaye;19 place du Marché;80350;MERS LES BAINS;02 35 50 87 98;;http://www.cabinetdelahaye.fr/;;;;;;;
Cayeux Immobilier;43, rue Anatole Mopin;80410;Cayeux sur Mer;;;http://www.cayeux-immobilier.fr/;;;;;;;
Doyen Immobilier;2 place Courbet;80410;CAYEUX SUR MER;03.22.26.17.90;;http://www.doyen-immobilier.fr/;;;;;;;
Etudes Immobilières Douchin;89, Chaussée de Rouvroy;80100;Abbeville;03 22 31 32 11;;http://www.immobilier-douchin.com/;;;;;;;
FIM IMMOBILIER ET COMMERCE;41 RUE SADI CARNOT;80140;Oisemont;03 22 25 74 34;;http://www.fim-immobilier.com/;;;;;;;
FIM Immobilier, DUBUC Immobilier;31 RUE MARCEL HOLLEVILLE;80350;Mers les Bains;02 35 86 99 24;;http://www.fim-immobilier.com/;;;;;;;
JB Immobilier;7, rue de péronne;80800;villers;03.22.48.12.08;;http://www.jbimmobilier.fr/;;;;;;;
L'immobilier du centre;16 place Max Lejeune;80100;Abbeville;03 60 26 80 01;;http://www.immobilier-du-centre-abbeville.com/;;;;;;;
L'Immobilier en Somme;9, rue des Lingers;80100;Abbeville;03 22 19 39 30;;http://www.limmobilierensomme.com/;;;;;;;
Lamy Immobilier;19, Places des Pilotes;80230;Saint-Valery;03 22 60 42 26;;http://www.lamyimmobilier.com/;https://www.facebook.com/pages/LAMY-Immobilier/325099590893789;;;;;;
Littoral Immobilier;21 rue Pierre et marie Curie;80350;Mers les bains;0235045943;;http://www.littoral-immos.fr/;;;;;;;
Ma maison en Somme;9 rue Faidherbe;80800;Corbie;;;http://www.maison-en-somme.fr/;;;;;;;
Opal'im;223 rue du maréchal Foch;80410;CAYEUX SUR MER;03 22 26 25 72;;http://www.opal-im-cayeux.com/;;;;;;;
Régis HOREN Immobilier -;2, Avenue Aristide Briand;80100;ABBEVILLE;03.22.31.36.09;;http://www.terres-picardes.com/;;;;;;;
SOGESTIM;11, rue de Paris;80700;Roye;03 22 78 42 11;;http://www.sogestim-picardie.com/;;;;;;;
Therigny Immobilier;71, Rue Lucien Désenclos;80130;FRIVILLE-ESCARBOTIN;03 22 30 06 81;;http://www.therigny-immobilier.com/;;;;;;;
Therigny immobilier;41 Place du Marché;80350;MERS LES BAINS;02 35 50 00 55;;http://www.therigny-immobilier.com/;;;;;;;
ULYSS 'IMMO;19 rue du Niger;80170;ROSIERES-EN-SANTERRE;03.22.78.80.09;;http://www.ulyssimmo.fr/;;;;;;;
FIM IMMOBILIER ET COMMERCE;41 RUE SADI CARNOT;80140;Oisemont;03 22 25 74 34;;http://www.fim-immobilier.com/;;;;;;;
FIM Immobilier, DUBUC Immobilier;31 RUE MARCEL HOLLEVILLE;80350;Mers les Bains;02 35 86 99 24;;http://www.fim-immobilier.com/;;;;;;;
JB Immobilier;7, rue de péronne;80800;villers;03.22.48.12.08;;http://www.jbimmobilier.fr/;;;;;;;
L'immobilier du centre;16 place Max Lejeune;80100;Abbeville;03 60 26 80 01;;http://www.immobilier-du-centre-abbeville.com/;;;;;;;
L'Immobilier en Somme;9, rue des Lingers;80100;Abbeville;03 22 19 39 30;;http://www.limmobilierensomme.com/;;;;;;;
Lamy Immobilier;19, Places des Pilotes;80230;Saint-Valery;03 22 60 42 26;;http://www.lamyimmobilier.com/;https://www.facebook.com/pages/LAMY-Immobilier/325099590893789;;;;;;
Littoral Immobilier;21 rue Pierre et marie Curie;80350;Mers les bains;0235045943;;http://www.littoral-immos.fr/;;;;;;;
Ma maison en Somme;9 rue Faidherbe;80800;Corbie;;;http://www.maison-en-somme.fr/;;;;;;;
