company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Accueil Immobilier;4 rue Georges Koechlin;90006;Belfort;03 84 21 75 95;;http://www.accueil-immobilier.net/;;;;;;;
Action 90 immobilier;12, avenue Jean Jaurès;90000;BELFORT;03 84 21 21 31;;http://www.action-immobilier.org/;;;;;;;
Activ'immo;3 Allée Maurice Henry;90800;BAVILLIERS;03.84.21.33.48;;http://www.activimmo90.com/;;;;;;;
Agence du Parc;7, fg de Montbéliard;90000;Belfort;03 84 28 92 85;;http://www.agence-du-parc-belfort.com/;;;;;;;
Agence Immobiliere Buliard;10 Faubourg de Montbéliard;90000;BELFORT;03 84 28 58 62;;http://www.buliardimmobilier.fr/;;;;;;;
Agence la Roseraie;26b rue Franklin Roosevelt;90000;BELFORT;03 84 19 06 76;;http://www.agencelaroseraie.com/;;;;;;;
Alliance Immobilier;6 rue du Docteur Fréry;90000;Belfort;03 84 21 07 00;;http://www.allianceimmobilier.com/;;;;;;;
Aprim Immobilier;18, rue Dreyfus Schmidt;90000;Belfort;03 84 28 29 13;;http://www.aprim-immobilier.fr/;;;;;;;
Avenir Immobilier CG;180 avenue Jean Jaurès;90000;Belfort;;;http://www.avenir-immo-cg.com/;;;;;;;
Bersot immobilier;2, rue de Turenne;90300;VALDOIE;03.84.26.34.26;;http://www.bersot.net/;;;;;;;
Cabinet Delle immobilier;37, Grande Rue;90100;DELLE;03 84 36 02 02;;http://www.delle-immobilier.com/;;;;;;;
CENTURY 21 Agence du Théatre;2 rue du Comte de la Suze;90000;BELFORT;03 84 90 45 65;;http://www.century21agencedutheatre.com/;https://www.facebook.com/pages/CENTURY-21-Agence-du-Th%C3%A9%C3%A2tre-%C3%A0-Belfort/110808878955409;;;;;;
Christian Molle Immobilier;9 Rue Aristide Briand;90000;Belfort;03 84 28 27 75;;http://www.christianmolleimmobilier.fr/;;;;;;;
Girault Pointet Immobilier;57bis faubourg de Montbéliard;90000;BELFORT;03 84 21 35 40;;http://www.giraultimmobilier.com/;;;;;;;
Immobilière du Château;2 Avenue du Général Sarrail;90000;Belfort;03 84 22 22 12;;http://www.immochateau.fr/;;;;;;;
ImmoReecht;24 Boulevard de Lattre de Tassigny;90000;Belfort;03 84 21 78 91;;http://www.reecht.com/;;;;;;;
Marcelin Prevot Immobilier;3 place de la République;90000;BELFORT;03 84 28 46 66;;http://www.prevot-immobilier.com/;;;;;;;
Marcelin Prevot Immobilier;2 rue Antonio Vivaldi;90100;DELLE;03 84 90 80 80;;http://www.prevot-immobilier.com/;;;;;;;
Marcelin Prevot Immobilier;9 rue André Maginot;90200;GIROMAGNY;03 84 57 36 26;;http://www.prevot-immobilier.com/;;;;;;;
MLB immobilier;6, rue de la Baume Les Errues;90150;Menoncourt;0384467232;;http://www.mlbimmobilier.fr/;;;;;;;
PERFORMANCE CENTER IMMOBILIER;16, RUE BECQUEREL TECNHOM 3 CENTRE AFFAIRE 1- BAT 12;90000;BELFORT;03 84 58 10 28;;http://www.performance-center-immo.com/;;;;;;;
Phil-IMMO (Promofi);1 rue François Géant;90000;Belfort;;;http://www.phil-immo.fr/;;;;;;;
Studlocation;Rue Gustave Lang - ZAC de la Justice;90000;Belfort;03 84 46 60 81;;http://www.studlocation.com/;;;;;;;
PERFORMANCE CENTER IMMOBILIER;16, RUE BECQUEREL TECNHOM 3 CENTRE AFFAIRE 1- BAT 12;90000;BELFORT;03 84 58 10 28;;http://www.performance-center-immo.com/;;;;;;;
Phil-IMMO (Promofi);1 rue François Géant;90000;Belfort;;;http://www.phil-immo.fr/;;;;;;;
Studlocation;Rue Gustave Lang - ZAC de la Justice;90000;Belfort;03 84 46 60 81;;http://www.studlocation.com/;;;;;;;
