company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Nestenn Challans-Beauvoir;4 rue de Nantes;85300;Challans;02 51 49 75 04;;https://immobilier-challans-beauvoir.nestenn.com/;;;;;;;
Nestenn Fontenay-le-Comte;94 Avenue du Président François Mitterrand;85200;Fontenay-le-Comte;02 28 13 91 91;;https://immobilier-fontenay-le-comte.nestenn.com/;;;;;;;
Nestenn Le Poiré sur Vie;1 rue de l Ancien Prieuré;85170;Le Poiré sur Vie;02 51 62 33 86;;https://immobilier-lepoiresurvie.nestenn.com/;;;;;;;
Nestenn Les Sables d Olonne;15 Bis Boulevard Arago;85100;Les Sables d Olonne;02 51 21 02 02;;https://immobilier-lessablesdolonne.nestenn.com/;;;;;;;
Nestenn Lucon;21 Rue Georges Clemenceau;85400;Lucon;02 51 28 71 19;;https://immobilier-lucon.nestenn.com/;;;;;;;
Nestenn Montaigu;11 Place du Champ de Foire;85600;Montaigu;02 51 09 46 06;;https://immobilier-montaigu.nestenn.com/;;;;;;;
Nestenn St Gilles Croix De Vie;2 Rue Gautté;85800;St Gilles Croix De Vie;02 51 55 12 14;;https://immobilier-stgillescroixdevie.nestenn.com/;;;;;;;
AAP Immobilier;75, boulevard Castelnau;85100;Les Sables d'Olonne;02 51 32 02 94;;http://www.aap-immobilier.com/;;;;;;;
ABIE;49, Route de Niort;85490;BENET;02 51 00 09 45;;http://www.abie-immobilier.com/;;;;;;;
Accord immobilier;4 pl de l'Europe;85160;SAINT JEAN DE MONTS;02 51 26 90 14;;http://www.accord-immo.com/;;;;;;;
Act Immobilier;9 Grand Rue;85500;LES HERBIERS;02.51.67.90.90;;http://www.act-immobilier.com/;;;;;;;
Agence Alizés;45, promenade Georges Clemenceau;85100;LES SABLES D OLONNE;02 51 95 36 56;;http://www.agencealizes.com/;https://www.facebook.com/pages/Agence-Aliz%C3%A9s/126639250745150;;;;;;
Agence Alpha Immobilier;5 rue du Château;85440;Talmont-Saint-Hilaire;02 51 96 02 04;;http://www.alphaimmotalmont.com/;;;;;;;
Agence Aunis Immobilier;4 bis, rue Aristide Briand;85360;La Tranche sur Mer;02 51 27 45 17;;http://www.aunis-immobilier.com/;;;;;;;
Agence Bleu Immobilier Noirmoutier;3 Rue Piet;85330;NOIRMOUTIER;"02 51 35 90 56
Twitter :";;http://www.bleu-immo.com/;;;;;;;
Agence Castelnau;119 Boulevard de Castelnau;85100;Les Sables-d'Olonne;02 51 95 49 20;;http://www.agencecastelnau.com/;;;;;;;
Agence de l'Ile;7, rue Gabriel Guist'hau;85350;ILE D'YEU;02.51.58.37.45;;http://www.agencedelile.com/;;;;;;;
Agence de la Plage;2 Bis, Avenue de la Plage;85460;LA FAUTE SUR MER;02-51-56-46-87;;http://www.agencedelaplage.immo/;https://www.facebook.com/pages/Agence-de-la-plage/131946360242105;;;;;;
Agence de la Plage;3 avenue de la Mer;85160;Saint Jean de Monts;02 51 58 21 14;;http://www.agence-de-la-plage.com/;https://www.facebook.com/agencedelaplage;;;;;;
Agence de la Plage;46, Avenue de la Plage;85360;LA TRANCHE SUR MER;02-51-30-38-12;;http://www.agencedelaplage.immo/;https://www.facebook.com/pages/Agence-de-la-plage/131946360242105;;;;;;
Agence des Pins;42, rue de Verdun;85360;La Tranche sur Mer;02.51.30.36.77;;http://www.agencedespins.net/;;;;;;;
Agence des Portes de l'Ocean;1 rue de l'église;85580;Saint Michel En l'Herm;"02 51 30 73 23
RSS :";;http://agence-portes-ocean.com/;;;;;;;
Agence des présidents;13 bis Prom. Georges Godet;85100;Les Sables d'Olonne;02 51 95 13 19;;http://www.agence-des-presidents.com/;;;;;;;
Agence du Littoral;Rond point fleuri Avenue Côte de Lumière;85460;La Faute sur Mer;02 51 97 06 63;;http://www.agencedulittoral.fr/;https://www.facebook.com/pages/Agence-Du-Littoral-La-Faute-Sur-Mer-Locations-saisonni%C3%A8res-Vend%C3%A9e/163304033717919;;;;;;
Agence Eliot;30 Rue du Général de Gaulle;85160;SAINT JEAN DE MONTS;0251580607;;http://agence-eliot.immo/;;;;;;;
Agence Foucher Immobilier;3, place de la Prée aux Ducs;85330;Noirmoutier;02.51.39.39.18;;http://www.agencefoucher-immobilier.com/;;;;;;;
Agence Grolleau;18, rue Nationale;85750;Angles;02 51 97 54 42;;http://www.agence-grolleau.com/;https://www.facebook.com/AgenceGrolleauImmobilier/;;;;;;
Agence Grolleau;127 Boulevard des Vendéens;85360;La Tranche sur mer;0251277890;;http://www.agence-grolleau.com/;https://www.facebook.com/AgenceGrolleauImmobilier/;;;;;;
Agence Grolleau;2, place du Général de Gaulle;85540;Moutiers-les-Mauxfaits;02 51 31 57 17;;http://www.agence-grolleau.com/;https://www.facebook.com/AgenceGrolleauImmobilier/;;;;;;
Agence Immobilière du Bocage;14 rue de Saumur;85504;LES HERBIERS;02 51 64 93 93;;http://www.agencedubocage.com/;;;;;;;
Agence les manoirs;5, Grande Rue;85330;NOIRMOUTIER;02 51 39 09 95;;http://www.les-manoirs-immobilier.com/;;;;;;;
Agence Les Manoirs;54, rue du Centre;85630;BARBATRE;02 51 39 81 34;;http://www.les-manoirs-immobilier.com/;;;;;;;
Agence les mimosas;97B Avenue Joseph PINEAU;85330;NOIRMOUTIER EN L'ILE;02 51 55 11 71;;http://www.immobilier-a-noirmoutier.com/;;;;;;;
Agt'im;55, place du Champ de Foire;85603;MONTAIGU;02 51 94 01 84;;http://www.agtim.fr/;;;;;;;
AIP Bocagimmo;32 rue du Brandon;85500;Les Herbiers;02 51 91 00 97;;http://www.bocagimmo.com/;;;;;;;
AIP Bocagimmo;2 rue des Lilas;85700;Pouzauges;02 51 57 01 63;;http://www.bocagimmo.com/;;;;;;;
AIP Bocagimmo;14 rue St Jean;85120;La Chataigneraie;02 51 50 26 38;;http://www.bocagimmo.com/;;;;;;;
AIZENAY IMMOBILIER;2 rue de la Monnaie PLACE DE L'EGLISE;85190;Aizenay;02 51 34 11 34;;http://www.aizenay-immobilier.fr/;;;;;;;
AJP Immobilier;48 RUE GAMBETTA;85300;CHALLANS;"02 51 60 21 21
Twitter :";;https://www.ajp-immobilier.com/;;;;;;;
AJP Immobilier;15b rue Gambetta;85100;LES SABLES D'OLONNE;"02 53 48 08 08
Twitter :";;https://www.ajp-immobilier.com/;;;;;;;
AJP Immobilier;3 RUE DU PRESIDENT DE GAULLE;85400;LUCON;"02 51 27 28 28
Twitter :";;https://www.ajp-immobilier.com/;;;;;;;
Beauvoir Immobilier;2 route de Nantes;85230;Beauvoir sur Mer;02 51 55 09 42;;http://www.beauvoir-immobilier.fr/;;;;;;;
Bleu Marine Immobilier;87 av. Maurice Samson;85360;La Tranche sur Mer;02 51 30 08 09;;http://bleumarine-immobilier.com/;;;;;;;
Bleu Marine Immobilier;39 avenue du Général de Gaulle;85440;Avrillé;"02 51 22 38 06
Twitter :";;http://bleumarine-immobilier.com/;;;;;;;
Boileau immobilier;4, rue Georges Clémenceau;85520;Jard sur Mer;02 51 33 56 58;;http://www.boileauimmobilier.fr/;https://www.facebook.com/pages/boileau-immobilier/181300315261740;;;;;;
Boileau Immobilier;19, rue de l'Océan;85560;Longeville sur Mer;02 51 33 20 20;;http://www.boileauimmobilier.fr/;https://www.facebook.com/pages/boileau-immobilier/181300315261740;;;;;;
C.O. Immobilier;27 rue du Chèvrefoy;85440;Talmont St-Hilaire Bourgenay;02 51 23 48 10;;http://www.coimmobilier.fr/;;;;;;;
Cabinet Atlantide;25 rue du Centre;85630;BARBATRE;02 51 39 81 12;;http://www.agence-atlantide.com/;;;;;;;
Cabinet Fruchet;7, rue Nationale;85110;Chanatonnay;02 51 94 54 30;;http://www.chantonnay-immobilier.com/;;;;;;;
Cap conseil immobilier;1 rue du Château d'eau;85300;SOULLANS;02 51 35 51 28;;http://www.capconseil-immobilier.fr/;;;;;;;
CENTURY 21 Atlantique Immo;207 avenue de la Forêt;85270;ST HILAIRE DE RIEZ;02 28 10 07 07;;http://www.century21-atl-immo-hilaire-riez.com/;https://www.facebook.com/pages/CENTURY-21-Atlantique-Immo-%C3%A0-Saint-Hilaire-de-Riez/158896674150967;;;;;;
CENTURY 21 Bleu Marine;1 avenue de la Plage;85800;ST GILLES CROIX DE VIE;02 51 55 32 65;;http://www.century21bleumarine1.com/;https://www.facebook.com/Century21BleuMarineStGillesCroixdeVie;;;;;;
CENTURY 21 Bleu Marine Immobilier;;;;;;http://www.century21bleumarine.com/;;;;;;;
CENTURY 21 Bonne Fontaine;10 rue Carnot;85300;CHALLANS;02 51 49 88 88;;http://www.century21bonnefontaine.com/;https://www.facebook.com/century21.bonne.fontaine.challans;;;;;;
CENTURY 21 PPV' Immo;32 Place Jean Yole;85160;ST JEAN DE MONTS;02 28 11 04 34;;http://www.century21-ppv-saint-jean-monts.com/;https://www.facebook.com/pages/CENTURY-21-PPV-Immo/103882889648567;;;;;;
CHANTIMMO;10 place de la liberté;85110;CHANTONNAY;02.51.46.93.58;;http://www.chantimmo.com/;;;;;;;
Chantimmo;10 Place Clemenceau;85210;STE HERMINE;02.51.28.87.84;;http://www.chantimmo.com/;;;;;;;
D'clic Immo;1 rue Jan et Joël Martel;85800;SAINT-GILLES-CROIX-DE-VIE;;;http://www.dclicimmo.fr/;https://www.facebook.com/dclicimmosgxv/;;;;;;
DESCHAMPS IMMOBILIER;51 rue Tiraqueau;85203;FONTENAY LE COMTE;02.51.69.08.40;;http://www.deschamps-immo.com/;;;;;;;
Fontenay Immobilier;7 rue du Minage;85200;Fontenay-le-Comte;02.51.51.25.74;;http://www.vivreenvendee.fr/;;;;;;;
Guy Hoquet Aizenay;5 place du rond point;85190;Aizenay;02 51 42 13 50;;http://www.guyhoquet-immobilier-aizenay.com/;;;;;;;
Guy Hoquet Les Sables d'Olonne;50 Avenue Alcide Gabaret;85100;Les Sables-d'Olonne;02 51 21 14 15;;http://www.guyhoquet-immobilier-sables-dolonne.com/;https://www.facebook.com/pages/Guy-Hoquet-lImmobilier-Les-Sables-dOlonne/427632597274954;;;;;;
Guy Hoquet Saint-Hilaire-de-Riez;10 RUE DE L'EGALITE;85270;Saint-Hilaire-de-Riez;02 51 55 19 11;;http://www.guyhoquet-immobilier-saint-hilaire-de-riez.com/;;;;;;;
Huit Cinq;10 Bis, rue du général leclerc;85300;Challans;02 28 12 03 66;;http://www.huitcinq.com/;https://www.facebook.com/85immobilier;;;;;;
Huit Cinq;74, quai de la République;85800;St Gilles Croix de Vie;02 28 100 100;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;1 Place du Moulin de Conchette - Bât. A Les Balcons du Port;85520;Jard sur Mer;02 51 20 39 30;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;1 av. Georges Clémenceau;85150;La Mothe Achard;02 51 62 58 08;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;La Grière - 34 rue de Verdun;85360;La Tranche sur Mer;02 51 30 23 35;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;83, boulevard de Castelnau;85100;Les Sables d Olonne;02 51 32 77 10;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;14 Square du Fief de la Jariette;85300;CHALLANS;;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;54 av. Charles de Gaulle;85340;Olonne sur Mer;02 51 32 01 94;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;60 ter Route des Amis de la Nature;85340;Olonne sur Mer;02 51 21 82 82;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;74, quai de la République;85800;St Gilles Croix de Vie;02 28 100 100;;http://www.huitcinq.com/;;;;;;;
Huit Cinq;83, boulevard de Castelnau;85100;Les Sables d Olonne;02 51 32 77 10;;http://www.huitcinq.com/;;;;;;;
Huit Cinq Immobilier;3 Bis, Avenue de Verdun;85470;Brétignolles sur Mer;02 51 96 08 38;;http://www.huitcinq.com/;https://www.facebook.com/85immobilier;;;;;;
ICY immobilier;59bis Grande Rue;85430;AUBIGNY;0251987975;;http://www.vendee-immobilier.net/;;;;;;;
île IMMO Services;30 rue Mon Repos;85740;L'EPINE;02 51 35 05 08;;http://www.ileimmoservices.com/;;;;;;;
Imm'Olonne;20, rue des églantines;85340;Ile d'Olonne;02 51 20 32 72;;http://www.immolonne.fr/;;;;;;;
IMMOBILIER COURONNE YONNAISE ICY;59bis Grande Rue;85430;AUBIGNY;0251987975;;http://www.vendee-immobilier.net/;;;;;;;
inter immobilier;5 Bis Quai Gorin;85800;ST GILLES CROIX DE VIE;02.51.54.02.60;;http://www.interimmobilier.fr/;;;;;;;
ITI Immobilier;5 rue du Palais;85100;Les Sables d'Olonnes;02 51 23 88 99;;http://www.iti-immobilier.com/;;;;;;;
iti-immobilier;3 rue de la Pironnière;85180;CHÂTEAU D’OLONNE;02 51 23 88 99;;https://iti-immobilier.fr/;https://www.facebook.com/iti-immobilier-111402525547692/;;;;;;
L'Adresse Agence de l'Océan;46 bis rue de l'Océan;85560;LONGEVILLE SUR MER;02.51.90.35.92;;http://www.ladresse-longeville.com/;;;;;;;
L'ADRESSE AGENCE Immobilière Océane;26 Bd du Nord;85470;BRETIGNOLLES SUR MER;02 51 90 96 96;;http://www.ladresse-bretignolles.com/;;;;;;;
L'Adresse bichon immobilier;2 rue saint Nicolas;85230;BEAUVOIR SUR MER;02.51.68.73.88;;http://www.ladresse-beauvoirsurmer.com/;;;;;;;
L'Adresse bichon immobilier;1 route du gois;85630;BARBATRE Ile de Noirmoutier;02.51.39.46.36;;http://www.ladresse-beauvoirsurmer.com/;;;;;;;
L'ADRESSE Challans;6, place De Gaulle;85300;CHALLANS;02.51.93.36.70;;http://www.ladresse-challans.com/;;;;;;;
L'Adresse DYNAMIC IMMOBILIER;23 boulevard Arago;85100;LES SABLES D OLONNE;02.51.22.58.00;;http://www.ladresse-les-sables-dolonne.com/;;;;;;;
L'Adresse La Barre de Monts Fromentine;51 Avenue de l'Estacade;85550;LA BARRE DE MONTS;0251685276;;http://www.ladresse-labarredemonts.com/;;;;;;;
L'ADRESSE LAU DES NAIADES;24, rue des Halles;85200;FONTENAY LE COMTE;02.51.69.30.86;;http://www.ladresse-fontenaylecomte.com/;;;;;;;
L'ADRESSE LAU DU MARAIS;32 Rue de l'An VI;85450;CHAILLE LES MARAIS;02.51.56.72.57;;http://www.ladresse-chaille-les-marais.com/;;;;;;;
L'ADRESSE Saint Jean de Monts Immobilier;67, esplanade de la Mer;85160;Saint Jean de Monts;02.28.12.02.02;;http://www.ladresse-saint-jean-de-monts.com/;;;;;;;
L'Adresse St Gilles croix de vie;34 rue du Général De Gaulle;85800;SAINT GILLES CROIX DE VIE;02 51 54 10 51;;http://www.ladresse-immo2000.com/;;;;;;;
L'ADRESSE VENDEE IMMOBILIER CHALLENGE;1 Place du Général de Gaulle;85540;MOUTIERS LES MAUXFAITS;02.51.40.01.10;;http://www.ladresse-moutiers.com/;;;;;;;
L'immobilière Vendéenne;35 Esplanade de la Mer;85160;Saint-Jean-de-Monts;02 28 11 21 21;;http://www.immobiliere-vendeenne.fr/;https://www.facebook.com/L-Immobili%C3%A8re-Vend%C3%A9enne-1019536491400127/;;;;;;
