company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Actuel Immobilier;PLACE DU MARCHE;86130;JAUNAY CLAN;05 49 88 07 01;;http://www.actuel-immobilier.eu/;;;;;;;
Actuel Immobilier;9 rue du Marché;86130;Chauvigny;05 49 01 10 11;;http://www.actuel-immobilier.eu/;;;;;;;
ADP Immobilier;28 Place Joffre;86170;Neuville de Poitou;05 49 42 41 41;;http://www.adp-immobilier.com/;;;;;;;
ADP Immobilier;10 rue de l'hôtel de ville;86180;Buxerolles;05 49 38 11 11;;http://www.adp-immobilier.com/;;;;;;;
Agence BENETEAU;27 rue du Marché;86300;CHAUVIGNY;05 49 46 37 25;;http://www.agence-beneteau.fr/;;;;;;;
Agence Blossac;75, Bld Blossac;86100;Châtellerault;05 49 23 13 55;;http://www.agence-blossac.fr/;;;;;;;
Agence Blossac;9, Rue Maurice Aguillon;86110;Mirebeau;05 49 50 59 18;;http://www.agence-blossac.fr/;;;;;;;
Agence des Halles;25, place du Marché;86100;GENCAY;05 49 01 23 69;;http://www.agencedeshalles86.fr/;;;;;;;
Agence LABELL;2 Rue Pierre Gendrault;86280;SAINT BENOIT;05 49 00 26 96;;http://www.labell-immobilier.com/;https://www.facebook.com/pages/Agence-Labell-Immobilier-Saint-Benoit/177259922300210;;;;;;
Agence Pierre;67 boulevard Blossac;86100;CHATELLERAULT;05 49 21 22 45;;http://www.agence-pierre.fr/;;;;;;;
Agence Principale;16 avenue Treuille;86100;Châtellerault;0549232237;;http://www.agenceprincipale-chatellerault.fr/;;;;;;;
AGENCES IMMOVIENNE;36 Grande rue;86240;Liguge;0549469412;;http://www.agencesimmovienne.fr/;;;;;;;
AGENCES IMMOVIENNE CIVAUX;11 ROUTE DE POITIERS;86800;ST JULIEN L ARS;0549500405;;http://www.agencesimmovienne.fr/;;;;;;;
AGENCES IMMOVIENNE CIVAUX;8 Pl Gomelange;86320;Civaux;0549488612;;http://www.agencesimmovienne.fr/;;;;;;;
Argus immobilier;3 rue Louis XIII;86400;Civray;05 49 87 56 86;;http://www.argusimmobilier.fr/;;;;;;;
Argus immobilier;61 Grand'Rue;86700;Couhé;05 49 01 76 55;;http://www.argusimmobilier.fr/;;;;;;;
CABINET FRANCHINEAU ALAIN;13 rue Marcel Aymard;86202;LOUDUN;05 49 98 35 66;;http://www.agencefranchineau.com/;;;;;;;
Cabinet immoblier Alain Franchineau;13, Rue Marcel Aymard;86200;LOUDUN;05 49 98 35 66;;http://franchineau.pagesperso-orange.fr/;;;;;;;
CPL TRANSACTIONS;20, rue du Planty;86180;BUXEROLLES;05 49 46 26 81;;http://www.cpltransactions.fr/;;;;;;;
GOURDON immobilier;4, Place du Maréchal Joffre;86170;NEUVILLE DE POITOU;05 49 51 88 78;;http://www.gourdon-immobilier.fr/;;;;;;;
Immobilier Maisons Rurales;24, Place du Marechal Leclerc;86500;Montmorillon;05 49 48 55 61;;http://www.maisonsrurales.com/;;;;;;;
Lochois;76 avenue de l'Europe;86220;Dangé-Saint-Romain;05 49 20 28 75;;http://www.lochoisimmo.com/;;;;;;;
LOGIS SERVICE TRANSACTION;1 rue du Palais;86500;MONTMORILLON;05 49 83 32 00;;http://www.logisservice.com/;;;;;;;
LOGIS SERVICE TRANSACTION;13, route de Montmorillon;86320;LUSSAC LES CHATEAUX;05 49 48 92 12;;http://www.logisservice.com/;;;;;;;
Résidences du Poitou;13 rue de l'Hôtel de Ville;86180;Buxerolles;05.49.45.73.95;;http://www.residences-poitou.com/;;;;;;;
Transaxia;128 grande Rue Chateauneuf;86100;Chatellerault;05.16.57.04.65;;http://www.transaxia-chatellerault.fr/;;;;;;;
Immobilier Maisons Rurales;24, Place du Marechal Leclerc;86500;Montmorillon;05 49 48 55 61;;http://www.maisonsrurales.com/;;;;;;;
Lochois;76 avenue de l'Europe;86220;Dangé-Saint-Romain;05 49 20 28 75;;http://www.lochoisimmo.com/;;;;;;;
LOGIS SERVICE TRANSACTION;1 rue du Palais;86500;MONTMORILLON;05 49 83 32 00;;http://www.logisservice.com/;;;;;;;
LOGIS SERVICE TRANSACTION;13, route de Montmorillon;86320;LUSSAC LES CHATEAUX;05 49 48 92 12;;http://www.logisservice.com/;;;;;;;
Résidences du Poitou;13 rue de l'Hôtel de Ville;86180;Buxerolles;05.49.45.73.95;;http://www.residences-poitou.com/;;;;;;;
Transaxia;128 grande Rue Chateauneuf;86100;Chatellerault;05.16.57.04.65;;http://www.transaxia-chatellerault.fr/;;;;;;;
