company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
ACCORD IMMOBILIER;65, rue Charles De Gaulle;88200;Remiremont;03 29 23 02 02;;http://www.accord-immobilier.net/;;;;;;;
Agence des arcades;23 rue Charles de Gaulle;88200;REMIREMONT;03.29.23.34.20;;http://www.agence-arcades.fr/;;;;;;;
Agence du Château Immobilier;16, rue des Soupirs;88000;Epinal;03 29 33 79 70;;http://www.agenceduchateauimmo.fr/;https://www.facebook.com/pages/Agence-du-Ch%C3%A2teau-Immobilier/372811742835851;;;;;;
Agence du Cygne;70 r Charles de Gaulle;88400;GERARDMER;03 29 63 63 00;;http://www.agenceducygne.com/;;;;;;;
APOSTROPHES;1 Place Stein;88000;Épinal;03 29 35 49 49;;http://www.apostrophes.fr/;;;;;;;
Apostrophes;14 rue de la Xavée;88200;Remiremont;03 29 23 94 94;;http://www.apostrophes.fr/;;;;;;;
Apostrophes;1 quai du Torrent;88100;Saint-Dié-des-Vosges;03 29 55 22 22;;http://www.apostrophes.fr/;;;;;;;
Apostrophes;23 rue du cameroun;88600;Bruyères;03 29 50 11 11;;http://www.apostrophes.fr/;;;;;;;
Apostrophes;26 rue Carnot;88700;Rambervillers;03 29 290 290;;http://www.apostrophes.fr/;;;;;;;
Arthurimmo Frank Leroy Immobilier;7b rue Charles Weill;88110;Raon L Etape;03 29 41 25 95;;https://www.raonletape-arthurimmo.com/;;;;;;;
CENTURY 21 Marion et Colin;17-19 rue Aubert;88000;EPINAL;03 29 33 10 10;;http://www.century21-mc-epinal.com/;https://www.facebook.com/pages/CENTURY-21-Marion-et-Colin-%C3%A0-Epinal/132804156881100;;;;;;
CENTURY 21 Marion et Colin;126 rue Charles de Gaulle;88200;REMIREMONT;03 29 62 16 16;;http://www.century21marionetcolin.com/;https://www.facebook.com/Century21marionetcolin;;;;;;
CENTURY 21 Midon Baudoin Immobilier;110 Place du Général de Gaulle;88800;VITTEL;03 29 08 09 92;;http://www.century21-midon-vittel.com/;https://www.facebook.com/century21.midon.vittel;;;;;;
CENTURY 21 Rychner Immobilier;33 rue Thiers;88100;ST DIE;03 29 55 11 33;;http://www.century21rychner-immobilier.com/;https://www.facebook.com/pages/CENTURY-21-Rychner-Immobilier/102763893092804;;;;;;
Contreximmo;164 rue Ziwer Pacha;88140;CONTREXEVILLE;03 29 08 10 66;;http://www.contreximmo.fr/;;;;;;;
Deviviers Immobilier;25, rue Liétard;88370;Plombières-les-Bains;03 29 66 61 61;;http://www.deviviersimmobilier.com/;;;;;;;
Europ Immo Vosges;4 rue du 19 novembre;88400;GERARDMER;;;http://www.europ-vosges.com/;;;;;;;
Fabien LOTZ Immobilier;29 Place de Lattre De Tassigny;88200;REMIREMONT;03.29.62.85.84;;http://www.fabien-lotz-immobilier.com/;;;;;;;
FRERE Immobilier;88, rue Charles de gaulle;88200;Remiremont;03.29.23.90.90;;http://www.frere-immo.com/;;;;;;;
Gérardmer Immobilier;16B Avenue du 19 novembre;88400;GERARDMER;03 29 41 44 44;;http://www.gerardmer-immobilier.com/;;;;;;;
IM PLUS;ZONE HELLIEULE 2 17 RUE ANTOINE DE SAINT EXUPERY;88100;St Die;0329555657;;http://www.im-plus.com/;;;;;;;
IMAJ Immobilier;5, rue Thierry de Hamelant;88000;EPINAL;03.29.29.21.21;;http://www.immobi.com/;;;;;;;
IMMO DES VALLEES;1, Rue Albert Jacquemin;88120;Vagney;03.29.23.78.06;;http://www.immodesvallees.com/;https://www.facebook.com/pages/Immo-des-Vall%C3%A9es/183478058349109;;;;;;
L'@gence;31 rue des Chênes;88100;Sainte-marguerite;0329500700;;http://www.lagenceimmobilier.fr/;;;;;;;
L'adresse Epinal Agence Paradis Immobilier;40, RUE DES ETATS-UNIS;88000;EPINAL;03 29 644 644;;http://www.ladresse-epinal.com/;;;;;;;
L'immobilière;2, place du Colonel Denis;88520;Ban de Laveline;09.65.34.75.81;;http://www.limmobiliere.fr/;;;;;;;
La Centrale Foncière;33 quai des iranées;88250;La Bresse;03.29.25.67.25;;http://www.lacentralefonciere.com/;https://www.facebook.com/pages/La-centrale-Fonci%C3%A8re/132123346866051;;;;;;
La vision;21, Boulevard Kelsch;88400;Gérardmer;03 29.60.41.74;;http://www.immo-lavision.com/;;;;;;;
Laforet Immobilier Lorraine;;;;;;http://www.laforet-immobilier-lorraine.com/;;;;;;;
Leroy Immobilier;23 Avenue du 19 Novembre;88400;GERARDMER;;;http://www.leroyimmobilier.com/;;;;;;;
Logestra;15, place du Général de Gaulle;88800;VITTEL;03 29 08 49 00;;http://www.logestra.fr/;;;;;;;
Ph. Duvoid;62 rue Charles de Gaulle;88400;GERARDMER;;;http://www.immo-duvoid.com/;;;;;;;
Ph. DUVOID IMMOBLIER conseil;37 rue de Nancy;88000;EPINAL;03.29.33.26.40;;http://www.immo-duvoid.com/;;;;;;;
Pierres Lorraines;3, rue de la croix;88700;DOMPTAIL;03 29 66 91 91;;http://www.pierres-lorraines.fr/;https://www.facebook.com/pages/PIERRES-LORRAINES/140906919316065;;;;;;
Sovogim;2, rue François Mitterrand;88400;GERARDMER;03 29 60 99 84;;http://www.sovogim.com/;;;;;;;
SyGestim;7 Rue des États Unis;88000;Épinal;;;http://www.sygestim.fr/;;;;;;;
Voisard Immobilier;37 rue Thiers;88100;SAINT-DIÉ-DES-VOSGES;;;http://www.voisard.fr/;;;;;;;
IM PLUS;ZONE HELLIEULE 2 17 RUE ANTOINE DE SAINT EXUPERY;88100;St Die;0329555657;;http://www.im-plus.com/;;;;;;;
IMAJ Immobilier;5, rue Thierry de Hamelant;88000;EPINAL;03.29.29.21.21;;http://www.immobi.com/;;;;;;;
IMMO DES VALLEES;1, Rue Albert Jacquemin;88120;Vagney;03.29.23.78.06;;http://www.immodesvallees.com/;https://www.facebook.com/pages/Immo-des-Vall%C3%A9es/183478058349109;;;;;;
L'@gence;31 rue des Chênes;88100;Sainte-marguerite;0329500700;;http://www.lagenceimmobilier.fr/;;;;;;;
L'adresse Epinal Agence Paradis Immobilier;40, RUE DES ETATS-UNIS;88000;EPINAL;03 29 644 644;;http://www.ladresse-epinal.com/;;;;;;;
L'immobilière;2, place du Colonel Denis;88520;Ban de Laveline;09.65.34.75.81;;http://www.limmobiliere.fr/;;;;;;;
La Centrale Foncière;33 quai des iranées;88250;La Bresse;03.29.25.67.25;;http://www.lacentralefonciere.com/;https://www.facebook.com/pages/La-centrale-Fonci%C3%A8re/132123346866051;;;;;;
La vision;21, Boulevard Kelsch;88400;Gérardmer;03 29.60.41.74;;http://www.immo-lavision.com/;;;;;;;
Laforet Immobilier Lorraine;;;;;;http://www.laforet-immobilier-lorraine.com/;;;;;;;
Leroy Immobilier;23 Avenue du 19 Novembre;88400;GERARDMER;;;http://www.leroyimmobilier.com/;;;;;;;
Logestra;15, place du Général de Gaulle;88800;VITTEL;03 29 08 49 00;;http://www.logestra.fr/;;;;;;;
Ph. Duvoid;62 rue Charles de Gaulle;88400;GERARDMER;;;http://www.immo-duvoid.com/;;;;;;;
Ph. DUVOID IMMOBLIER conseil;37 rue de Nancy;88000;EPINAL;03.29.33.26.40;;http://www.immo-duvoid.com/;;;;;;;
Pierres Lorraines;3, rue de la croix;88700;DOMPTAIL;03 29 66 91 91;;http://www.pierres-lorraines.fr/;https://www.facebook.com/pages/PIERRES-LORRAINES/140906919316065;;;;;;
Sovogim;2, rue François Mitterrand;88400;GERARDMER;03 29 60 99 84;;http://www.sovogim.com/;;;;;;;
SyGestim;7 Rue des États Unis;88000;Épinal;;;http://www.sygestim.fr/;;;;;;;
Voisard Immobilier;37 rue Thiers;88100;SAINT-DIÉ-DES-VOSGES;;;http://www.voisard.fr/;;;;;;;
