company_name;company_address;company_postalcode;company_city;company_phone;company_email;company_website;company_facebook;contact_firstname;contact_lastname;contact_email;contact_phone;contact_position;contact_linkedin
Actimmo;62, Rond Point de la Résistance;89300;JOIGNY;03 86 62 23 40;;http://www.actimmo.fr/;;;;;;;
Activ'Immo;22, rue de Paris;89200;Avallon;03 86 34 03 44;;http://www.activ-immo.com/;;;;;;;
Agence Alexandre;2, Grande Rue;89340;Villeneuve-La-Guyard;03 86 66 40 77;;https://www.agence-alexandre.fr/;;;;;;;
Agence Alexandre;RN 6;89140;Pont sur Yonne;03 86 96 30 80;;https://www.agence-alexandre.fr/;;;;;;;
Agence Carnot;78 Rue Carnot;89500;VILLENEUVE SUR YONNE;03.86.87.17.45;;http://www.agencecarnot.com/;;;;;;;
Agence Centrale;10, Place des Fontaines;89600;SAINT FLORENTIN;03 86 35 28 56;;http://www.agencecentrale89.com/;https://www.facebook.com/agencecentrale89;;;;;;
Agence Charny Immobilier;35, Grande Rue;89120;CHARNY;03.86.56.23.09;;http://www.charny-immobilier.fr/;;;;;;;
AGENCE DILO89 IMMOBILIER;7, Place Dilo;89600;SAINT-FLORENTIN;03.86.43.43.45;;http://www.agencedilo.fr/;;;;;;;
AGENCE DU PAYS;43 grande rue;89120;CHARNY;"0386636400
RSS :";;http://www.agencedupays.fr/;;;;;;;
Agence du Vieux Pont;7, place Eugene Petit;89140;Pont Sur Yonne;03 86 95 02 61;;http://www.immobilier-pontsuryonne.com/;;;;;;;
Agence Favart;6 Quai Henri Ragobert;89300;JOIGNY;03 86 62 15 72;;http://www.agencefavart.com/;;;;;;;
Agence Livet Simpson;2 Boulevard Vaulabelle;89000;AUXERRE;03 86 51 42 66;;http://www.agencelivetsimpson.com/;;;;;;;
Agence Optimus;37, Grande Rue;89340;VILLENEUVE LA GUYARD;03 86 66 44 95;;https://www.agence-optimus.fr/;https://www.facebook.com/agence.optimus.villeneuve.la.guyard;;;;;;
Alain Fillieux;66 rue de la république;89100;Sens;03.86.65.11.05;;http://www.immo-fillieux.com/;;;;;;;
Alice Immo;110 rue Bourneil;89000;Auxerre;03 86 52 00 67;;http://www.alice-immo.com/;;;;;;;
